ID,OWNER
112090,5091817
112091,5091817
112092,5091817
112093,5091817
112094,5091663
112095,5091817
112096,5091817
112097,5091817
112098,5091817
112099,5091817
112100,5091817
112101,5091817
112102,5091817
112103,5091817
112105,5091817
112106,5091817
112107,5091817
112108,5091817
112109,5091817
112110,5091817
112111,5091817
112112,5091817
112113,5091817
112114,5091817
112115,5091817
112116,5091817
112117,5091817
112118,5091817
112119,5091817
112120,5091251
112121,5091817
112122,5091251
112123,5085661
112124,5085661
112125,5091817
112126,5085661
112127,5085661
112128,5077656
112129,5085661
112130,5091817
112131,5085661
112132,5085661
112133,5091817
112134,5091817
112135,5091817
112136,5091817
112137,5085661
112138,5091817
112139,5091817
112140,5091817
112141,5091817
112142,5091817
112143,5091817
112144,5091817
112145,5079639
112146,5079639
112147,5085661
112148,5085661
112149,5085661
112150,5085661
112151,5095928
112152,5095928
112153,5085661
112154,5085661
112155,5085661
112156,5079639
112157,5085661
112158,5085661
112159,5085661
112160,5095928
112161,5091817
112162,5091817
112163,5080013
112164,5080013
112165,5081708
112166,5077722
112167,5077722
112168,5077722
112169,5077722
112170,5077722
112172,5077722
112173,5077722
112174,5077722
112175,5077722
112176,5077722
112177,5077722
112178,5077722
112179,5077722
112180,5077722
112181,5080013
112182,5077722
112183,5085661
112184,5077722
112185,5077722
112186,5095928
112187,5077722
112188,5077722
112189,5077722
112190,5077722
112191,5077722
112192,5077722
112193,5077722
112194,5077722
112195,5077722
112196,5077722
112197,5077722
112198,5077722
112199,5077722
112200,5077722
112201,5077722
112202,5077722
112203,5095928
112204,5077722
112205,5080013
112206,5080013
112207,5080013
112208,5080013
112209,5091817
112210,5080013
112211,5080013
112212,5080013
112213,5080013
112214,5077997
112215,5080566
112216,5080013
112217,5080566
112218,5080566
112219,5080566
112220,5080566
112221,5080566
112222,5085661
112223,5079639
112224,5079639
112225,5079639
112226,5079639
112227,5079639
112228,5079639
112229,5079639
112230,5079639
112231,5079639
112232,5079639
112233,5079639
112234,5079639
112235,5085661
112236,5080013
112237,5079639
112238,5079639
112239,5079639
112240,5079639
112241,5079639
112242,5085661
112243,5085661
112244,5095928
112245,5091817
112246,5080013
112247,5085661
112248,5091817
112249,5091817
112250,5080566
112251,5080566
112252,5080566
112253,5080013
112254,5080013
112255,5080013
112256,5080013
112257,5080013
112258,5080566
112259,5091817
112260,5091817
112261,5091663
112262,5080013
112263,5080566
112264,5085661
112265,5080566
112266,5091817
112267,5080013
112268,5080566
112269,5080013
112270,5080566
112271,5080566
112272,5080013
112273,5080566
112274,5080566
112275,5080566
112276,5080566
112277,5080013
112278,5080013
112279,5080566
112280,5080013
112281,5091817
112282,5080013
112283,5080013
112284,5080013
112285,5085661
112286,5085661
112287,5080013
112288,5080566
112289,5080013
112290,5080013
112291,5080566
112292,5080013
112293,5080566
112294,5095928
112295,5095928
112296,5080013
112297,5080013
112298,5080013
112299,5080013
112300,5095928
112301,5095928
112302,5091817
112303,5080013
112304,5080566
112305,5080566
112306,5080013
112307,5095928
112308,5095928
112309,5095928
112310,5095928
112311,5095928
112312,5095928
112313,5095928
112314,5095928
112315,5080566
112316,5080013
112317,5080566
112318,5080013
112319,5080013
112320,5080013
112321,5095928
112322,5095928
112323,5080013
112324,5080566
112325,5080013
112326,5091251
112327,5095928
112328,5080013
112329,5095928
112330,5095928
112331,5080566
112332,5080013
112333,5080566
112334,5080566
112335,5080566
112336,5080566
112337,5095928
112338,5095928
112339,5091817
112340,5080013
112341,5095928
112342,5095928
112343,5080013
112344,5091817
112345,5091817
112346,5080013
112347,5080013
112348,5095928
112349,5091817
112350,5095928
112351,5080013
112352,5080013
112353,5095928
112354,5080013
112355,5080566
112356,5080566
112357,5095928
112358,5095928
112359,5095928
112360,5095928
112361,5095928
112362,5095928
112363,5080013
112364,5080013
112365,5080013
112366,5080013
112367,5080013
112368,5095928
112369,5080566
112370,5080566
112371,5095928
112372,5095928
112373,5091817
112374,5080013
112375,5091817
112376,5095928
112377,5080013
112378,5080013
112379,5080013
112380,5080013
112381,5080013
112382,5091817
112383,5091817
112384,5080013
112385,5080013
112386,5095928
112387,5091817
112388,5080013
112389,5080566
112390,5091817
112391,5080013
112392,5095928
112393,5080566
112394,5091817
112395,5080566
112396,5080013
112397,5095928
112398,5095928
112399,5080566
112400,5091663
112401,5095928
112402,5095928
112403,5080566
112404,5080013
112405,5095928
112406,5091817
112407,5080013
112408,5080013
112409,5080013
112410,5080013
112411,5095928
112412,5080013
112413,5080013
112414,5091817
112415,5091251
112416,5080013
112417,5091817
112418,5080566
112419,5080013
112420,5085661
112421,5080566
112422,5080013
112423,5080013
112424,5080013
112425,5091817
112426,5080013
112427,5080566
112428,5080566
112429,5080566
112430,5080566
112431,5080566
112432,5080013
112433,5080566
112434,5095928
112435,5080013
112436,5080566
112437,5080013
112438,5095928
112439,5080013
112440,5080013
112441,5091817
112442,5080566
112443,5095928
112444,5085661
112445,5085661
112446,5095928
112447,5095928
112448,5095928
112449,5080013
112450,5095928
112451,5095928
112452,5095928
112453,5080013
112454,5080013
112455,5080013
112456,5080013
112457,5080566
112458,5080013
112459,5080566
112460,5080013
112461,5080566
112462,5080013
112463,5080013
112464,5080013
112465,5080566
112466,5080566
112467,5095928
112468,5080566
112469,5080566
112470,5080013
112471,5080566
112472,5095928
112473,5080566
112474,5080566
112475,5091663
112476,5080013
112477,5080013
112478,5080566
112479,5091817
112480,5080013
112481,5080013
112482,5080013
112483,5080013
112484,5080566
112485,5080566
112486,5080566
112487,5080013
112488,5080013
112489,5095928
112490,5080013
112491,5080013
112492,5080013
112493,5080566
112494,5080566
112495,5091817
112496,5091663
112497,5091663
112498,5080013
112499,5080013
112500,5080013
112501,5085661
112502,5080566
112503,5080566
112504,5080013
112505,5091817
112506,5091817
112507,5080013
112508,5080566
112509,5091663
112510,5091817
112511,5091663
112512,5080013
112513,5080013
112514,5080013
112515,5091663
112516,5095928
112517,5080013
112518,5080566
112519,5080566
112520,5091663
112521,5080566
112522,5080013
112523,5080566
112524,5085661
112525,5091817
112526,5091663
112527,5080013
112528,5095928
112529,5095928
112530,5080566
112531,5095928
112532,5080566
112533,5080013
112534,5095928
112535,5091663
112536,5077656
112537,5080566
112538,5095928
